id,name,description,ruling,reason,variations
e558,Bentonite,A food additive used as an anticaking agent.,halal,E558 is generally considered halal as it is a mineral-based additive and does not contain any animal-derived ingredients.,"['e558', 'bentonite']"
e566,Sodium Aluminium Silicate,A food additive used as an anticaking agent.,uncertain,"Some silicates are synthetically produced, while others are derived from natural sources. Without detailed information on the specific production and source, halal status cannot be determined.","['e566', 'sodium aluminium silicate', 'sodium aluminosilicate']"
e570,Stearic Acid,"A saturated fatty acid used as a food additive, lubricant, and release agent.",uncertain,"Stearic acid can be derived from both plant and animal sources. If it is derived from non-halal animals, it is considered haram. Without knowing the source, it is uncertain.","['e570', 'stearic acid']"
e560,Potassium Silicate,A food additive used as a stabilizer and binder.,uncertain,Potassium silicate is generally produced synthetically or from mineral sources. The halal status depends on the specific production process and the absence of any haram substances.,"['e560', 'potassium silicate']"
e575,Glucono-delta-lactone,"A food additive used as a sequestrant, acidifier, or curing agent.",halal,"Glucono-delta-lactone is typically produced by the oxidation of glucose, a sugar derived from plant sources. The production process does not involve any haram substances.","['e575', 'glucono-delta-lactone', 'gluconolactone', 'GDL']"
e572,Magnesium Stearate,"A metallic soap used as a food additive, release agent, and lubricant.",uncertain,"Stearate can be derived from both plant and animal sources. If it is derived from non-halal animals, it is considered haram. Without knowing the source, it is uncertain.","['e572', 'magnesium stearate']"
e563,Hydrated Magnesium Silicate,A food additive used as an anticaking agent.,uncertain,Hydrated magnesium silicate is derived from natural mineral sources. The halal status depends on the absence of any contamination with haram substances during processing.,"['e563', 'hydrated magnesium silicate', 'talc']"
e561,Magnesium Silicate,A food additive used as an anticaking agent.,uncertain,Magnesium silicate is derived from natural mineral sources. The halal status depends on the absence of any contamination with haram substances during processing.,"['e561', 'magnesium silicate']"
e562,Sodium Aluminium Silicate,A food additive used as an anticaking agent.,uncertain,"Some silicates are synthetically produced, while others are derived from natural sources. Without detailed information on the specific production and source, halal status cannot be determined.","['e562', 'sodium aluminium silicate', 'sodium aluminosilicate']"
e574,Gluconic Acid,A food additive used as an acidity regulator.,halal,"Gluconic acid is produced by the oxidation of glucose, a sugar derived from plant sources. The production process does not involve any haram substances.","['e574', 'gluconic acid']"
e565,Silicon Dioxide,A food additive used as an anticaking agent.,halal,Silicon dioxide is a naturally occurring compound and is generally considered halal unless it is processed with haram substances.,"['e565', 'silicon dioxide', 'silica']"
e579,Calcium Stearoyl-2-lactylate,A food additive used as an emulsifier and dough conditioner.,uncertain,"It can be derived from both plant-based and animal-based sources. If it is derived from plant-based sources, it is halal. If it is derived from non-halal animal sources, it is haram.","['e579', 'calcium stearoyl-2-lactylate']"
e620,L-Glutamic Acid,A naturally occurring non-essential amino acid. It functions as a neurotransmitter in the human body.,halal,Glutamic acid is an amino acid and is halal if produced from halal sources.,"['e620', 'l-glutamic acid', 'glutamic acid']"
e576,Sodium Gluconate,"A sequestering agent, cleaning product, and food additive.",halal,"Sodium gluconate is the sodium salt of gluconic acid, produced by fermentation of glucose. Since the fermentation process typically uses halal ingredients, it is considered halal unless otherwise specified.","['e576', 'sodium gluconate']"
e580,Magnesium Gluconate,A mineral supplement and food additive.,halal,"Magnesium gluconate is the magnesium salt of gluconic acid, produced by fermentation of glucose. Since the fermentation process typically uses halal ingredients, it is considered halal unless otherwise specified.","['e580', 'magnesium gluconate']"
e585,Ferrous Lactate,A food additive used as an acidity regulator and iron source.,uncertain,"Lactic acid, which is a component of ferrous lactate, can be derived from either plant or animal sources. If the lactic acid is derived from non-halal animal sources, the ferrous lactate would be considered haram.","['e585', 'ferrous lactate']"
e586,4-Hexylresorcinol,A food additive used to prevent discoloration in shrimp and shellfish.,uncertain,The halal status of 4-hexylresorcinol is uncertain due to limited information about its sources and manufacturing process.,"['e586', '4-hexylresorcinol']"
e577,Calcium Stearate,"A white, waxy powder used as a food additive, plastic lubricant, and release agent.",uncertain,"Stearic acid, a component of calcium stearate, can be derived from both plant and animal sources. If it is derived from non-halal animal sources, the calcium stearate would be considered haram.","['e577', 'calcium stearate']"
e578,Magnesium Stearate,"A white powder used as a food additive, anti-caking agent, and release agent.",uncertain,"Stearic acid, a component of magnesium stearate, can be derived from both plant and animal sources. If it is derived from non-halal animal sources, the magnesium stearate would be considered haram.","['e578', 'magnesium stearate']"
e628,E628,A food additive that is a salt of guanylic acid.,uncertain,"E628, also known as 5'-Guanylate, dipotassium; Dipotassium guanylate; Potassium 5'-guanylate, is a salt of guanylic acid. Guanylic acid can be derived from yeast extract or fish. If derived from halal sources, it is halal. Otherwise, it is haram. Without knowing the source, the ruling is uncertain.","['e628', ""dipotassium-5'-guanylate""]"
e625,E625,A food additive that is a salt of glutamic acid.,halal,"E625, also known as monoammonium glutamate, is a salt of glutamic acid. Glutamic acid is typically produced through fermentation of plant-based sources such as sugar cane, sugar beets, or molasses. Since the process does not involve haram substances, it is considered halal unless contaminated with unlawful ingredients.","['e625', 'monoammonium-glutamate']"
msg,Monosodium Glutamate,"A flavor enhancer commonly added to processed foods, soups, sauces, and snacks.",halal,"MSG is typically produced through fermentation of plant-based sources such as sugar cane, sugar beets, or molasses. Since the process does not involve haram substances, it is considered halal unless contaminated with unlawful ingredients.","['monosodium-glutamate', 'msg', 'e621', 'sodium-glutamate', 'flavor-enhancer-621']"
e630,Inosinic Acid,A flavor enhancer.,uncertain,"E630, also known as inosinic acid, is a naturally occurring acid that is used as a flavor enhancer. It can be derived from meat or produced synthetically. If derived from halal sources, it is halal. Otherwise, it is haram. Without knowing the source, the ruling is uncertain.","['e630', 'inosinic-acid']"
e623,E623,A food additive that is a salt of glutamic acid.,halal,"E623, also known as calcium diglutamate, is a salt of glutamic acid. Glutamic acid is typically produced through fermentation of plant-based sources such as sugar cane, sugar beets, or molasses. Since the process does not involve haram substances, it is considered halal unless contaminated with unlawful ingredients.","['e623', 'calcium-diglutamate']"
e624,E624,A food additive that is a salt of glutamic acid.,halal,"E624, also known as monoammonium glutamate, is a salt of glutamic acid. Glutamic acid is typically produced through fermentation of plant-based sources such as sugar cane, sugar beets, or molasses. Since the process does not involve haram substances, it is considered halal unless contaminated with unlawful ingredients.","['e624', 'monoammonium-glutamate']"
e622,E622,A food additive that is a salt of glutamic acid.,halal,"E622, also known as monopotassium glutamate, is a salt of glutamic acid. Glutamic acid is typically produced through fermentation of plant-based sources such as sugar cane, sugar beets, or molasses. Since the process does not involve haram substances, it is considered halal unless contaminated with unlawful ingredients.","['e622', 'monopotassium-glutamate']"
e626,Guanylic Acid,A flavor enhancer.,uncertain,"E626, also known as guanylic acid, is a naturally occurring acid that is used as a flavor enhancer. It can be derived from yeast extract or fish. If derived from halal sources, it is halal. Otherwise, it is haram. Without knowing the source, the ruling is uncertain.","['e626', 'guanylic-acid']"
